Vuosi,KaikuYks,HämäläinenYks,Suomalainen Wirallinen LehtiYks,Sanomia TurustaYks,Uusi SuometarYks,Tampereen SanomatYks,SatakuntaYks,Keski-SuomiYks,KarjalatarYks,Hämeen SanomatYks,KaikuMon,HämäläinenMon,Suomalainen Wirallinen LehtiMon,Sanomia TurustaMon,Uusi SuometarMon,Tampereen SanomatMon,SatakuntaMon,Keski-SuomiMon,KarjalatarMon,Hämeen SanomatMon,KaikuGen,HämäläinenGen,Suomalainen Wirallinen LehtiGen,Sanomia TurustaGen,Uusi SuometarGen,Tampereen SanomatGen,SatakuntaGen,Keski-SuomiGen,KarjalatarGen,Hämeen SanomatGen,
1888,0.614157590423428,0.21177847945635447,0.7200468301516053,0.6776911342603343,3.600234150758026,0.5082683506952507,0.25413417534762534,0.9953588534448661,0.19060063151071904,0.40237911096707346,0.6988689822059697,0.2753120232932608,5.972153120669196,5.061505659006872,19.737754285332237,4.913260723387424,1.6942278356508358,1.2494930287924915,0.8047582219341469,0.5506240465865216,0.0,0.0,0.12706708767381267,0.10588923972817724,0.6565132863146989,0.021177847945635448,0.021177847945635448,0.042355695891270896,0.06353354383690633,0.021177847945635448,
1889,0.35901045947056126,0.03989005105228459,0.8576360976241186,0.6182957913104111,4.467685717855874,0.339065433944419,0.6382408168365534,0.9174711742025455,0.2393403063137075,1.2565366081469644,0.7180209189411225,0.3191204084182767,6.701528576783811,4.926421304957146,15.497284833812563,5.205651662323139,1.5956020420913835,1.8149973228789487,1.077031378411684,0.9972512763071147,0.07978010210456918,0.019945025526142295,0.05983507657842688,0.15956020420913836,0.6980758934149803,0.11967015315685375,0.11967015315685375,0.15956020420913836,0.09972512763071147,0.09972512763071147,
1890,0.2287495507113735,0.09803552173344579,0.4411598478005061,0.37580283331154224,5.0651686228947,0.490177608667229,0.3431243260670603,0.6045523840229157,0.17973178984465063,0.5718738767784338,0.19607104346689158,0.3431243260670603,4.918115340294531,3.0554404273590605,12.140065441325039,3.022761920114579,1.960710434668916,1.7156216303353014,0.6372308912673976,0.6208916376451568,0.06535701448896387,0.06535701448896387,0.049017760866722895,0.08169626811120483,1.045712231823422,0.1470532826001687,0.08169626811120483,0.08169626811120483,0.049017760866722895,0.049017760866722895,
1891,0.8051928099163818,0.11300951718124656,0.4661642583726421,0.6921832927351352,6.031882979549035,0.36728093083905133,0.6498047237921677,1.087716602869498,0.28252379295311636,0.4237856894296746,1.4408713440608938,0.25427141365780476,4.591011635488141,3.291402187903806,11.300951718124656,1.087716602869498,2.4720831883397683,2.2178117746819637,0.6639309134398236,0.5932999652015444,0.09888332753359075,0.02825237929531164,0.05650475859062328,0.1977666550671815,1.0029594649835631,0.155388086124214,0.09888332753359075,0.16951427577186984,0.01412618964765582,0.11300951718124656,
1892,1.1686652945916363,0.14608316182395453,0.2788860362093677,0.8233778211895618,7.476801827898763,0.5179312101031115,0.7171355216812313,0.8499383960666445,0.1328028743854132,0.4648100603489462,1.4741119056780867,0.6374537970499834,3.7184804827915694,4.316093417525929,7.23775665400502,1.8592402413957847,1.9256416785884913,1.660035929817665,0.47809034778748755,1.739717654448913,0.15936344926249585,0.01328028743854132,0.02656057487708264,0.22576488645520243,1.0491427076447644,0.10624229950833056,0.11952258694687189,0.33200718596353296,0.05312114975416528,0.05312114975416528,
1893,1.0489455519610977,0.16629624604261306,0.4988887381278392,1.0745295898138074,6.4855535956619095,1.343161987267259,1.1384896844455816,1.3047859304881948,0.2942164353061616,0.5628488327596135,3.0061244476933897,0.4477206624224198,2.3665235013756476,2.8014521448717122,7.444955015138523,1.7780906307633242,2.5328197474182605,2.123475141774905,1.0873216087401623,0.7419370977285814,0.16629624604261306,0.012792018926354851,0.0,0.3581765299379358,0.5628488327596135,0.1790882649689679,0.21746432174803246,0.1790882649689679,0.051168075705419404,0.07675211355812911,
1894,0.7999948985832555,0.11594128964974716,0.35941799791421625,0.9970950909878257,7.1303893134594505,0.7652125116883313,0.6144888351436599,1.7391193447462074,0.9855009620228509,1.1362246385675223,2.4231729536797157,0.35941799791421625,1.6927428288863087,1.3681072178670164,7.953572469972656,1.8086841185360558,3.0724441757183,1.4028896047619406,1.2289776702873199,1.2405717992522947,0.0695647737898483,0.03478238689492415,0.05797064482487358,0.16231780550964603,0.4057945137741151,0.12753541861472187,0.11594128964974716,0.08115890275482301,0.05797064482487358,0.02318825792994943,
1895,0.6139303907628163,0.1723313377579835,0.28003842385672323,0.7862617285207998,7.873387993817871,0.6462425165924381,0.48468188744432866,1.8741032981180707,0.9155102318392874,2.6388236094191226,1.389421410673742,0.49545259605420267,2.6603650266388703,1.2924850331848763,8.3580698812622,0.7108667682516819,3.0481105365943337,1.4001921192836162,1.1524658212565149,1.5940648742613475,0.09693637748886572,0.01077070860987397,0.053853543049369845,0.11847779470861367,0.7754910199109257,0.07539496026911778,0.1723313377579835,0.1723313377579835,0.08616566887899176,0.06462425165924382,
1896,0.7305799462199984,0.13764549711391275,0.26470287906521683,0.8364610978460852,5.865815800085204,0.6035225642686943,0.7835205220330418,1.9905656505704303,1.164692667886954,3.515254233986079,1.6729221956921705,0.29646722455304286,3.1234939729695586,1.228221358862606,7.464621189639114,1.8635082686191264,3.4411374278478184,1.1223402072365192,2.202327953822604,2.0223299960582564,0.13764549711391275,0.021176230325217343,0.021176230325217343,0.14823361227652143,0.6246987945939116,0.20117418808956478,0.1905860729269561,0.31764345487826023,0.06352869097565204,0.1905860729269561,
1897,0.7789487810117135,0.21692244534503413,0.34510389032164523,1.0353116709649355,6.241450359245755,1.8734211188889311,0.6211870025789613,2.050903119625777,1.9325817858012133,1.3902756724386278,0.9761510040526536,0.26622300110526914,3.1650956798070893,1.2226537828538286,6.251310470397802,2.001602563865542,1.1832133382456407,1.0648920044210766,2.4551676768597046,2.967893456766149,0.09860111152047006,0.0,0.039440444608188026,0.25636288995322215,0.5423061133625853,0.12818144497661108,0.08874100036842306,0.2859432234093632,0.059160666912282035,0.1577617784327521,
1898,0.7387353847939647,0.6083703168891474,0.09560104979686602,0.8777914572257699,5.8403550421358155,1.9120209959373204,0.7908814119558917,0.8951734662797455,2.259661177016833,0.4953872580383058,0.9299374843876967,0.8343364345908307,2.7724304441091148,1.0776845613464896,6.083703168891474,2.659447385258273,0.7474263893209525,1.103757574927453,1.399251728845039,2.181442136273943,0.10429205432385384,0.10429205432385384,0.00869100452698782,0.23465712222867113,0.44324123087637884,0.20858410864770768,0.15643808148578078,0.13036506790481728,0.18251109506674423,0.24334812675565895,
1899,0.7711581331566139,0.45787514156173953,0.1285263555261023,1.0041121525476742,5.695324129250409,2.8998758965576834,0.9077173859030976,0.9157502831234791,2.1849480439437396,0.41771065545983255,0.9237831803438603,1.0924740219718698,2.4018362688940367,0.7149278526139441,6.040738709726809,1.3977241163463625,0.650664674850893,0.9318160775642418,1.341493835803693,1.5182175746520836,0.09639476664457673,0.024098691661144183,0.1285263555261023,0.1445921499668651,0.5944343943082232,0.1526250471872465,0.11246056108533953,0.1445921499668651,0.03213158888152558,0.06426317776305115,
